id;title;description;img_url
1,Baldur's Gate III,"Baldur's Gate III est le nouvel opus des jeux de rôle de la série Baldur's Gate, issue de l'univers Donjons et Dragons. Il se déroule avant le premier opus. Vous grandissez du premier au trentième niveau, de Baldur's Gate aux Enfers. Ce RPG reprend le principe de son aîné et propose la création d'un personnage parmi diverses classes, caractéristiques et compétences.",https://cdn.alza.cz/Foto/or/articles/30670/img/baldurs-gate-3-thumb-maly.jpg
2,League of Legends,"League of Legends est le célèbre MOBA free-to-play de Riot Games jouable sur PC. Plongez directement dans la Faille et apprenez à maîtriser toute une foule de champions différents avec nos guides dédiés. Ne ratez aucun match ou résultat LFL, LEC ou d'une autre ligue avec nos suivis de compétition ",https://goosesmurfs.com/wp-content/uploads/2023/02/36877.jpg
3,Counter-Strike 2,"Counter-Strike, c'est l'expérience compétitive par excellence qui réunit des millions de personnes depuis plus de vingt ans. L'heure est venue d'écrire le prochain chapitre de l'histoire de Counter-Strike. Faites place à Counter-Strike 2.",https://sm.ign.com/ign_fr/game/c/counter-st/counter-strike-2_7kag.png
4,Call of Duty : Modern Warfare 3,"Call of Duty : Modern Warfare 3 est la suite directe de Call of Duty : Modern Warfare 2. Dans cette nouvelle aventure, le capitaine Price et la Task Force 141 affrontent la menace ultime : le criminel de guerre Vladimir Makarov. En plus d'une campagne solo, le titre comprend un mode multijoueur ainsi qu'un mode zombie.",https://www.presse-citron.net/app/uploads/2023/08/precommande-call-of-duty-modern-warfare-iii.jpg
5,EA Sports FC 24,"EA SPORTS FC™ 24 vous plonge au cœur de The World's Game (le jeu Universel) pour vous offrir le jeu de football le plus réaliste au monde avec HyperMotionV, les Styles de jeu optimisés par Opta et un moteur de jeu Frostbite™ amélioré.",https://jvmag.ch/wp-content/uploads/2023/07/easportsfc_4064953b.jpg
6,Diablo IV,"Dans Diablo IV, les amateurs de hack'n slash sont réunis dans un monde partagé pour braver des donjons aléatoires remplis d'ennemis et de butins ou pour s’entre-tuer lors de combats PvP. Cinq classes sont jouables, dont le barbare, la sorcière et le druide. Chacune dispose d'arbres de talents et de compétences personnalisables, à conjuguer avec un système de butincomprenant des objets légendaires et d’ensemble à collectionner, des combinaisons de runes et de mots runiques, et des montures personnalisées pour parcourir le monde ouvert.",https://blz-contentstack-images.akamaized.net/v3/assets/blt77f4425de611b362/blt6d7b0fd8453e72b9/646e720a71d9db111a265e8c/d4-open-graph_001.jpg
7,Total War : Warhammer III,"Total War : Warhammer III est le dernier volet de la trilogie du jeu de guerre stratégique. En plus des races des précédents opus, deux nouvelles races seront disponibles ainsi que les quatre factions du Chaos.",https://raoulzecat.fr/wp-content/uploads/2022/02/Total-War-Warhammer-3-Logo.jpg
8,Lost Ark,"Lost Ark est un hack'n slash sur PC en vue isométrique dans lequel vous pouvez incarnez 18 personnages jouables. Contrairement aux canons du genre, le jeu prend place au sein d'un monde ouvert multijoueur en ligne. Des montures sont également à votre disposition afin de vous assister en combat.",https://www.alwaysforkeyboard.com/wp-content/uploads/2022/02/lost_ark_41.jpg
9,Warcraft III : Reforged,"Warcraft III : Reforged est le remake du RTS sorti en 2002 et portant le même nom. En plus de proposer une refonte graphique totale et d'un sound-design retravaillé, Warcraft III : Reforged réimagine également l'intégralité des cinématiques de la campagne scénarisée.",https://cdna.artstation.com/p/assets/covers/images/032/201/298/large/lemon-sky-studios-lemon-sky-studios-a1.jpg?1605748953
10,Minecraft,"Jeu bac à sable indépendant et pixelisé dont le monde infini est généré aléatoirement, Minecraft permet au joueur de récolter divers matériaux, d'élever des animaux et de modifier le terrain selon ses choix, en solo ou en multi (via des serveurs). Il doit également survivre en se procurant de la nourriture et en se protégeant des monstres qui apparaissent la nuit et dans des donjons. Il peut également monter de niveau afin d'acheter des enchantements.",https://gaming-cdn.com/images/products/12567/616x353/minecraft-java-et-bedrock-edition-pc-jeu-europe-cover.jpg?v=1680508579
